,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
172,Grenada,9,,,,,9,,80,,-1,-1,0402
173,Guinea-Bissau,9,1,,,,9,,5,,-1,-1,0402
174,Eswatini,9,,,,,9,,8,,-1,-1,0402
175,Angola,8,1,2,,1,5,,02,006,-1,-1,0402
176,Zimbabwe,8,,1,,,7,,05,007,-1,-1,0402
177,Saint Kitts and Nevis,8,,,,,8,,150,,-1,-1,0402
178,Sudan,7,,2,,2,3,,02,005,-1,-1,0402
179,Antigua and Barbuda,7,,,,,7,,71,,-1,-1,0402
180,Chad,7,,,,,7,,04,,-1,-1,0402
181,Cabo Verde,6,,1,,,5,,11,2,-1,-1,0402
182,Mauritania,6,,1,,2,3,,1,02,-1,-1,0402
183,Vatican City,6,,,,,6,,7491,,-1,-1,0402
184,Liberia,6,3,,,,6,,1,,-1,-1,0402
185,St. Barth,6,,,,1,5,,607,,-1,-1,0402
186,Turks and Caicos,6,1,,,,6,,155,,-1,-1,0402
187,Nicaragua,5,,1,,,4,,08,02,-1,-1,0402
188,Nepal,5,,,,1,4,,02,,-1,-1,0402
189,Fiji,5,,,,,5,,6,,-1,-1,0402
190,Montserrat,5,,,,,5,,1002,,-1,-1,0402
191,Somalia,5,,,,1,4,,03,,-1,-1,0402
192,Botswana,4,,1,,,3,,2,04,-1,-1,0402
193,Gambia,4,,1,,2,1,,2,04,-1,-1,0402
194,Bhutan,4,,,,,4,,5,,-1,-1,0402
195,Belize,3,,,,,3,,8,,-1,-1,0402
196,British Virgin Islands,3,,,,,3,,99,,-1,-1,0402
197,CAR,3,,,,,3,,06,,-1,-1,0402
198,Anguilla,2,,,,,2,,133,,-1,-1,0402
199,Burundi,2,,,,,2,,02,,-1,-1,0402
200,Caribbean Netherlands,2,2,,,,2,,76,,-1,-1,0402
201,St. Vincent Grenadines,2,1,,,1,1,,18,,-1,-1,0402
202,Sierra Leone,2,1,,,,2,,03,,-1,-1,0402
203,Papua New Guinea,1,,,,,1,,01,,-1,-1,0402
204,Timor-Leste,1,,,,,1,,08,,-1,-1,0402
